Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1982","1982","t","9600000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1983","1983","t","9000000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1984","1984","t","9500000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1985","1985","t","11900000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1986","1986","t","12100000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1987","1987","t","9250000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1988","1988","t","9200000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1989","1989","t","4900000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1990","1990","t","5400000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1991","1991","t","7684800","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1992","1992","t","10700500","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1993","1993","t","10901000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1994","1994","t","10360000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1995","1995","t","11404041","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1996","1996","t","10518290","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1997","1997","t","15536820","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1998","1998","t","19360656","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1999","1999","t","13504100","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","2000","2000","t","16780650","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","2001","2001","t","15359397","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","2002","2002","t","14712079","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","2003","2003","t","15044529","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","2004","2004","t","14950825","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","2005","2005","t","20482572","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","2006","2006","t","14445538","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","2007","2007","t","21755364","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","2008","2008","t","22016926","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","2009","2009","t","13121380","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","2010","2010","t","22663095","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","2011","2011","t","23799830","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","2012","2012","t","21196637","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","2013","2013","t","32119211","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","2014","2014","t","33087165","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","2015","2015","t","33817744","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","2016","2016","t","39792854","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","2017","2017","t","49475895","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","2018","2018","t","43462323","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","2019","2019","t","56860704","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","2020","2020","t","58395811","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","2021","2021","t","60525805","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","2022","2022","t","59037179","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","2023","2023","t","41409448","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","2024","2024","t","57494500","A","Official figure",""
